name,rating,region,price,year
Aberlour A'bunadh batch #36,92.0,Speyside,45.0,
Aberlour A'bunadh batch #39,88.0,Speyside,58.0,
AnCnoc 12,84.0,Speyside,38.0, 12
Angel's Envy Cask Strength,87.0,Bourbon,180.0,
Ardbeg Alligator,88.0,Islay,141.0,
Amrut Fusion,86.0,Other,53.0,
Amrut Kadhambam,89.0,Other,128.0,
Arran Amarone Cask Finish,82.0,Island,40.0,
Arran Sauternes Cask Finish,80.0,Island,42.0,
Auchentoshan American Oak,72.0,Other,26.0,
Auchentoshan Three Wood,82.0,Other,59.0,
Balcones Texas Single Malt,85.0,American,60.0,
1792 Ridgemont Reserve,82.0,Bourbon,22.0,
Ardbeg Day,90.0,Islay,242.0,
Aberfeldy 12,77.0,Highland,40.0, 12
Aberlour 10,78.0,Speyside,23.0, 10
Benromach 10 100 Proof,90.0,Speyside,69.0, 10 
Benromach Traditional,79.0,Speyside,36.0,
Black Bottle,76.0,Other,20.0,
Blanton's Straight from the Barrel,91.0,Bourbon,80.0,
Bowmore 12,75.0,Islay,32.0, 12
Bowmore 15 Darkest,78.0,Islay,35.0, 15 
Bowmore 18,82.0,Islay,46.0, 18
Bruichladdich Black Art 2,88.0,Islay,147.0,
Bruichladdich Octomore 6.3,86.0,Islay,155.0,
Bruichladdich PC7,89.0,Islay,99.0,
Balvenie 12 Signature,83.0,Speyside,50.0, 12 
BenRiach 16,84.0,Speyside,72.0, 16
Balvenie 15 Single Barrel Sherry Cask,88.0,Speyside,40.0, 15 
Black Grouse,70.0,Other,26.0,
Balvenie 17 Doublewood,86.0,Speyside,92.0, 17 
Cutty Sark,63.0,Other,18.0,
Bruichladdich Waves,78.0,Islay,80.0,
Buchanan's 12 De Luxe,77.0,Other,30.0, 12 
Bulleit Bourbon,81.0,Bourbon,23.0,
Bruichladdich Octomore 6.1,89.0,Islay,116.0,
Bushmills 10,81.0,Irish,30.0, 10
Caol Ila 18,87.0,Islay,74.0, 18
Caperdonich 18 Signatory,86.0,Speyside,91.0, 18 
